[MODEL RESULTS] EFTNeg
op 	 best var 	 1 sigma 	 2 sigma
cHq3 	  ptl2 	 [-0.053,0.046] 	 [-0.111,0.086]
cW 	  met 	 [-0.061,0.067] 	 [-0.088,0.094]
cll1 	  ptll 	 [-0.084,0.085] 	 [-0.164,0.168]
cHl3 	  mll 	 [-0.085,0.085] 	 [-0.168,0.165]
cHq1 	  met 	 [-0.141,0.099] 	 [-0.191,0.149]
cHWB 	  met 	 [-1.474,1.500] 	 [-2.095,2.123]
cHDD 	  ptl2 	 [-3.073,3.558] 	 [-5.727,7.798]
cHl1 	  met 	 [-10.471,11.657] 	 [-15.067,16.241]


